id,official,short
158,ボリビア多民族国,ボリビア
159,ポルトガル共和国,ポルトガル
160,ホンジュラス共和国,ホンジュラス
161,マーシャル諸島共和国,マーシャル諸島
162,マダガスカル共和国,マダガスカル
163,マラウイ共和国,マラウイ
164,マリ共和国,マリ
165,マルタ共和国,マルタ
166,マレーシア,マレーシア
167,ミクロネシア連邦,ミクロネシア
168,南アフリカ共和国,南アフリカ
169,南スーダン共和国,南スーダン
170,ミャンマー連邦共和国,ミャンマー
171,メキシコ合衆国,メキシコ
172,モーリシャス共和国,モーリシャス
173,モーリタニア・イスラム共和国,モーリタニア・イスラム
174,モザンビーク共和国,モザンビーク
175,モナコ公国,モナコ
176,モルディブ共和国,モルディブ
177,モルドバ共和国,モルドバ
178,モロッコ王国,モロッコ
179,モンゴル国,モンゴル
180,モンテネグロ,モンテネグロ
181,ヨルダン・ハシミテ王国,ヨルダン・ハシミテ
182,ラオス人民民主共和国,ラオス
183,ラトビア共和国,ラトビア
184,リトアニア共和国,リトアニア
185,リビア,リビア
186,リヒテンシュタイン公国,リヒテンシュタイン
187,リベリア共和国,リベリア
188,ルーマニア,ルーマニア
189,ルクセンブルク大公国,ルクセンブルク
190,ルワンダ共和国,ルワンダ
191,レソト王国,レソト
192,レバノン共和国,レバノン
193,ロシア連邦,ロシア
194,バチカン市国,バチカン
195,中華民国,台湾
